	shNT_1	shNT_2	shNT_3	shNT_4	shNT_5	shMYOF_1	shMYOF_2	shMYOF_3	shMYOF_4	shMYOF_5
8-iso-PGE1	0.000546888	0.00023982	0.000230177	4.71E-05	4.58E-05	0.000352873	0.000135238	9.29E-05	0.00013494	0.000068915
TXB1	0.00133705	0.00045041	0.000332021	0.000133387	0.000113974	0.000866013	0.00012262	0.000209423	0.000421691	7.33E-05
8-iso-PGF3a	0.002515649	0.000895244	0.001273847	0.000759348	0.000870309	0.001027548	0.001051898	0.001443535	0.000572005	0.000423186
15-HETE	0.063483561	0.05133194	0.014288464	0.001397588	0.005888007	0.048703593	0.026743225	0.008958279	0.012058996	0.004004595
16-HDoHE	0.00549275	0.00537015	0.00176372	9.97E-05	0.00134367	0.00309055	0.00514612	0.00125107	0.000959706	0.000241816
"10,17-DiHDoHE"	0.000776483	0.000289442	0.000190927	0.000129967	0.000209432	0.000167294	0.000476608	7.84E-05	0.000462009	3.45E-05
DHA	0.029502357	0.030334227	0.016733343	0.008530047	0.01698249	0.018458511	0.019355852	0.014655248	0.012800391	0.015450742
"15-deoxy-delta-12,14-PGJ2"	0.00125661	0.000351623	0.00130418	0.0011658	0.00138699	0.000655081	0	0.000863906	0.00242616	0.00046991
13-HOTrE	0.00370302	0.000266833	0.000234077	0	0.000401176	0.00143749	0.00113056	0.0007738	8.01E-05	0.000310211
PGD1	0.000507293	0.000204907	0.000139255	4.52E-05	7.63E-05	0.000322405	0.000183109	8.31E-05	0.000166017	4.71E-05
"6,15-diketo-13,14-dihydro-PGF1a"	0.002868849	0.013965022	0.000681657	0.000517675	0.00111338	0.006496629	0.005551392	0.002338226	0.000876846	0.000571172
AEA	0.000461405	0.000622666	0.000553173	0.00023569	0.000529841	0.000348369	0.000389654	0.000310852	0.000670825	0.000270587
PGE3	1.269230769	0.244412607	0.139390938	0	0.09818772	0.514446529	0.200618151	0.21667218	0.333730632	0.191929134
11-HETE	0.16658	0.0988133	0.0493829	0.00498617	0.0201726	0.135378	0.0628273	0.0327698	0.039851	0.0144337
PGE1	0.000572407	0.000163689	0.000208166	3.39E-05	0.000115737	0.000373312	0.000181651	8.25E-05	0.000200704	9.33E-05
9-HpODE	0.017746944	0.007498919	0.01619096	0.008762464	0.009945019	0.00717024	0.010097872	0.016858133	0.007160374	0.013519223
EPA	0.000774211	0.000486009	0.000229759	0.000145377	0.000245125	0.0003465	0.00051226	0.000244664	0.000407132	0.000254833
Lyso-PAF	21.62049889	15.29105129	17.47400427	4.416384526	15.8706299	19.47539736	25.504648	17.49568825	4.324221135	3.95712426
15-keto-PGF2a	0.000138595	6.03E-05	4.96E-05	7.29E-06	7.64E-06	0.000138891	3.18E-05	2.88E-05	0.000045696	5.10E-06
"11-beta-13,14-dihydro-15-keto-PGF2a"	0.000145021	0.000133663	0.0001345	0.000117443	0.000110285	0.000170381	0.00010238	0.00011173	0.00011468	0.000116239
PGE2	0.022687	0.00992187	0.00895353	0.00129617	0.00318836	0.0207365	0.00774785	0.00528628	0.00791185	0.00273466
AA	0.1926858	0.143164328	0.084263872	0.033568705	0.061042908	0.126399556	0.125188046	0.075508225	0.090078772	0.08184935
11-HDoHE	0.000863498	0.000934567	0.000205726	0	0.000169418	0.000783365	0.000555458	0.000224677	0.000414519	0.00014431
8-iso-PGE2	0.0225771	0.00976035	0.00864251	0.00128007	0.00333658	0.0210345	0.00780674	0.0052342	0.00796046	0.00256285
PGJ2	0.00746436	0.00545563	0.00296472	0.000596823	0.000649757	0.00813652	0.00338809	0.00167635	0.00296823	0.000979765
OEA	0.0108228	0.0277735	0.00629706	0.00204606	0.00631249	0.00795488	0.00607964	0.0125871	0.0255791	0.00308942
PGF2a	10.7527972	9.279369628	4.938103491	0.89683918	1.342980795	15.30694184	5.76987918	2.168044988	3.949344458	1.374343832
PAF	0.00108524	0.00075917	0.000836173	0.000500084	0.00110001	0.000958192	0.00127867	0.000740383	0.000794473	0.000777266
15-HEPE	0.000874085	0.001077431	8.11E-05	6.37E-05	0	0.001213822	0.00066261	0	0.000134799	0.000221627
20-hydroxy-PGE2	0.001815015	0.001527485	0.000822249	0.00019224	0.001373216	0.000448666	0.002418051	0.000647836	0.000534328	0.002193819
Resolvin D2	5.50E-05	4.21E-05	1.36E-05	1.13E-05	2.28E-05	1.77E-05	1.69E-05	2.49E-05	4.38E-05	5.54E-05
12-HHT	0.00817077	0.00415679	0.00252553	0.000576937	0.000887969	0.00881818	0.00449549	0.00153356	0.00246148	0.00106292
"8-iso-13,14-dihydro-15-keto-PGF2a"	0.388811189	0.192836676	0.214904679	0.225772838	0.335407087	0.151969981	0.421466704	0.671518359	0.213051251	0.105971129
8-iso-PGA2	0.00445286	0.00312654	0.00160323	0.000218466	0.000652465	0.00548896	0.00213351	0.0012782	0.00232524	0.000623635
PGA2	0.00567963	0.00583367	0.00322299	0.000377095	0.000875748	0.00902488	0.00453793	0.00112582	0.00354848	0.00074482
6-keto-PGF1a	0.123526291	0.190672625	0.033672458	0.044340177	0.039789729	0.153687375	0.22882595	0.074808187	0.034541813	0.045254989
PGD2	0.027596199	0.004491144	0.012163954	0.00053116	0.002710031	0.026779712	0.010651656	0.004470247	0.013657144	0.003569074
Azelaoyl-PAF	0.000486334	0.000611834	0.000891901	6.43E-05	0.0004147	0.000694382	0.000510747	0.00132057	0.000302204	0.000489372
14-HDoHE	0.00991303	0.0134339	0.00641132	0.000813879	0.00615401	0.0157878	0.0217305	0.00628336	0.00376387	0.00184584
11-dehydro-TXB2	0.000118153	9.88E-05	0.000124298	9.67E-06	2.87E-05	0.000314271	6.10E-05	2.44E-05	0.000138199	2.93E-05
TXB2	0.0334148	0.0121226	0.0159159	0.000718752	0.00385516	0.0608285	0.0148002	0.00911512	0.0109162	0.00615095
8-HDoHE	0.001789504	0.001796831	0.001163849	5.49E-05	0.001055887	0.002330982	0.003111951	0.001855699	0.001633971	0.000219178
8-iso-15(R)-PGF2a	1.675524476	0.344126074	1.315672196	0.039944425	0.213686773	3.81988743	0.748805844	0.363546146	1.397794994	0.234580052
"5S,14R-LXB4"	2.19E-05	0	1.13E-05	0	2.44E-06	4.12E-05	1.58E-05	2.34E-06	6.11E-06	1.33E-06
17-HDoHE	0.00349386	0.00227621	0.00114225	0	0	0.00533524	0.00532009	0.00129251	0.000746022	0.000360481
LTE4	3.88E-05	6.14E-05	3.43E-05	1.55E-05	2.82E-05	0.00011507	5.65E-05	0.000147762	1.58E-05	2.08E-05
11-beta-PGF2a	2.981118881	3.541260745	6.34290666	0	0.641601298	18.46228893	2.045799382	1.271915316	6.137365912	0.872047244
8-iso-PGF2a	3.486713287	3.441547278	6.798960139	0.077457451	0.950229916	19.53395872	1.8746839	1.594442607	7.353098927	1.422244094
11-trans-LTE4	0	6.66E-05	1.50E-05	8.04E-06	2.25E-05	9.46E-05	4.93E-05	0.000140771	1.00E-05	7.14E-06
